source,destination,amount,timestamp,channel,is_suspicious
ACC_N_55,ACC_N_3,4146.23,2026-03-23T11:18:44.628514,ACH,False
ACC_N_293,ACC_N_3,2466.56,2026-03-28T11:18:44.628514,ACH,False
ACC_N_392,ACC_N_3,4186.96,2026-03-14T08:18:44.628514,ACH,False
ACC_N_98,ACC_N_4,212.97,2026-03-04T21:18:44.628514,ACH,False
ACC_N_137,ACC_N_4,741.32,2026-03-15T17:18:44.628514,ACH,False
ACC_N_173,ACC_N_5,1958.95,2026-03-07T10:18:44.628514,ACH,False
ACC_N_313,ACC_N_5,3831.43,2026-03-30T14:18:44.628514,ACH,False
ACC_N_484,ACC_N_5,4301.68,2026-03-12T05:18:44.628514,ACH,False
ACC_N_4,ACC_N_6,4941.04,2026-03-23T16:18:44.628514,ACH,False
ACC_N_157,ACC_N_6,3537.06,2026-03-16T06:18:44.628514,ACH,False
ACC_N_397,ACC_N_6,1113.52,2026-03-05T23:18:44.628514,ACH,False
ACC_N_149,ACC_N_8,1497.92,2026-03-17T22:18:44.628514,ACH,False
ACC_N_177,ACC_N_8,1475.43,2026-03-19T00:18:44.628514,ACH,False
ACC_N_306,ACC_N_8,813.59,2026-03-13T19:18:44.628514,ACH,False
ACC_N_337,ACC_N_8,2612.01,2026-03-17T17:18:44.628514,ACH,False
ACC_N_425,ACC_N_8,1940.12,2026-03-20T01:18:44.628514,ACH,False
ACC_N_485,ACC_N_8,4616.99,2026-03-09T03:18:44.628514,ACH,False
ACC_N_27,ACC_N_9,3711.2,2026-03-14T05:18:44.628514,ACH,False
ACC_N_66,ACC_N_9,4949.69,2026-03-09T22:18:44.628514,ACH,False
ACC_N_82,ACC_N_9,1881.92,2026-03-11T17:18:44.628514,ACH,False
ACC_N_140,ACC_N_9,4362.99,2026-03-20T22:18:44.628514,ACH,False
ACC_N_337,ACC_N_9,505.87,2026-03-31T06:18:44.628514,ACH,False
ACC_N_412,ACC_N_9,3541.34,2026-03-14T09:18:44.628514,ACH,False
ACC_N_433,ACC_N_9,2950.57,2026-03-12T22:18:44.628514,ACH,False
ACC_N_175,ACC_N_10,4349.27,2026-03-27T04:18:44.628514,ACH,False
ACC_N_257,ACC_N_10,2043.59,2026-03-21T11:18:44.628514,ACH,False
ACC_N_200,ACC_N_11,3778.63,2026-03-26T04:18:44.628514,ACH,False
ACC_N_230,ACC_N_11,4076.82,2026-04-01T08:18:44.628514,ACH,False
ACC_N_225,ACC_N_12,805.38,2026-04-02T07:18:44.628514,ACH,False
ACC_N_484,ACC_N_12,3736.12,2026-03-30T17:18:44.628514,ACH,False
ACC_N_489,ACC_N_12,3557.86,2026-03-18T10:18:44.628514,ACH,False
ACC_N_59,ACC_N_13,823.81,2026-03-22T02:18:44.628514,ACH,False
ACC_N_320,ACC_N_13,1733.19,2026-03-26T15:18:44.628514,ACH,False
ACC_N_324,ACC_N_13,1449.46,2026-03-07T00:18:44.628514,ACH,False
ACC_N_21,ACC_N_14,1479.47,2026-03-24T14:18:44.628514,ACH,False
ACC_N_121,ACC_N_14,339.81,2026-03-12T21:18:44.628514,ACH,False
ACC_N_417,ACC_N_14,4910.71,2026-03-06T07:18:44.628514,ACH,False
ACC_N_432,ACC_N_14,1451.2,2026-03-26T08:18:44.628514,ACH,False
ACC_N_495,ACC_N_14,723.95,2026-03-24T23:18:44.628514,ACH,False
ACC_N_168,ACC_N_15,3412.12,2026-03-06T09:18:44.628514,ACH,False
ACC_N_251,ACC_N_15,278.17,2026-03-16T17:18:44.628514,ACH,False
ACC_N_52,ACC_N_16,3966.96,2026-03-18T15:18:44.628514,ACH,False
ACC_N_57,ACC_N_16,1805.37,2026-03-08T09:18:44.628514,ACH,False
ACC_N_57,ACC_N_16,561.57,2026-03-10T07:18:44.628514,ACH,False
ACC_N_368,ACC_N_16,77.5,2026-03-21T00:18:44.628514,ACH,False
ACC_N_407,ACC_N_16,331.48,2026-03-17T00:18:44.628514,ACH,False
ACC_N_134,ACC_N_17,2967.25,2026-03-11T08:18:44.628514,ACH,False
ACC_N_300,ACC_N_17,4476.08,2026-03-26T04:18:44.628514,ACH,False
ACC_N_458,ACC_N_17,547.53,2026-04-02T08:18:44.628514,ACH,False
ACC_N_266,ACC_N_18,3831.51,2026-03-21T04:18:44.628514,ACH,False
ACC_N_280,ACC_N_18,4775.12,2026-03-20T06:18:44.628514,ACH,False
ACC_N_318,ACC_N_18,2175.18,2026-03-08T22:18:44.628514,ACH,False
ACC_N_326,ACC_N_18,3256.29,2026-03-18T09:18:44.628514,ACH,False
ACC_N_439,ACC_N_18,2896.2,2026-03-16T18:18:44.628514,ACH,False
ACC_N_230,ACC_N_19,1488.46,2026-03-17T20:18:44.628514,ACH,False
ACC_N_212,ACC_N_20,1714.6,2026-03-26T16:18:44.628514,ACH,False
ACC_N_388,ACC_N_20,569.76,2026-03-21T18:18:44.628514,ACH,False
ACC_N_472,ACC_N_20,2239.37,2026-03-27T11:18:44.628514,ACH,False
ACC_N_3,ACC_N_21,3511.67,2026-03-12T14:18:44.628514,ACH,False
ACC_N_104,ACC_N_21,452.83,2026-03-17T21:18:44.628514,ACH,False
ACC_N_213,ACC_N_21,3825.56,2026-03-13T20:18:44.628514,ACH,False
ACC_N_212,ACC_N_22,201.93,2026-03-19T03:18:44.628514,ACH,False
ACC_N_461,ACC_N_22,2864.92,2026-03-25T22:18:44.628514,ACH,False
ACC_N_9,ACC_N_23,1404.05,2026-03-26T16:18:44.628514,ACH,False
ACC_N_94,ACC_N_23,3575.26,2026-03-08T19:18:44.628514,ACH,False
ACC_N_352,ACC_N_23,662.3,2026-04-02T00:18:44.628514,ACH,False
ACC_N_466,ACC_N_23,4208.19,2026-03-15T12:18:44.628514,ACH,False
ACC_N_152,ACC_N_24,4683.52,2026-03-30T18:18:44.628514,ACH,False
ACC_N_272,ACC_N_24,609.74,2026-03-24T11:18:44.628514,ACH,False
ACC_N_292,ACC_N_24,4401.23,2026-03-14T00:18:44.628514,ACH,False
ACC_N_382,ACC_N_24,1043.18,2026-03-23T01:18:44.628514,ACH,False
ACC_N_23,ACC_N_25,3882.49,2026-03-08T22:18:44.628514,ACH,False
ACC_N_249,ACC_N_26,4354.33,2026-03-21T11:18:44.628514,ACH,False
ACC_N_337,ACC_N_26,2953.12,2026-03-27T09:18:44.628514,ACH,False
ACC_N_473,ACC_N_26,2631.77,2026-04-02T10:18:44.628514,ACH,False
ACC_N_290,ACC_N_27,2725.45,2026-03-12T08:18:44.628514,ACH,False
ACC_N_455,ACC_N_27,573.46,2026-03-06T09:18:44.628514,ACH,False
ACC_N_469,ACC_N_27,3103.24,2026-03-23T04:18:44.628514,ACH,False
ACC_N_496,ACC_N_27,4582.77,2026-03-26T00:18:44.628514,ACH,False
ACC_N_322,ACC_N_28,2814.55,2026-04-01T10:18:44.628514,ACH,False
ACC_N_384,ACC_N_28,706.68,2026-03-29T07:18:44.628514,ACH,False
ACC_N_399,ACC_N_28,3548.22,2026-03-11T18:18:44.628514,ACH,False
ACC_N_400,ACC_N_28,3235.73,2026-03-23T12:18:44.628514,ACH,False
ACC_N_205,ACC_N_29,1746.79,2026-03-30T19:18:44.628514,ACH,False
ACC_N_355,ACC_N_29,377.27,2026-03-12T05:18:44.628514,ACH,False
ACC_N_140,ACC_N_30,4254.31,2026-03-26T13:18:44.628514,ACH,False
ACC_N_211,ACC_N_30,2705.41,2026-03-27T18:18:44.628514,ACH,False
ACC_N_264,ACC_N_30,2641.62,2026-03-10T18:18:44.628514,ACH,False
ACC_N_267,ACC_N_30,4129.95,2026-03-10T04:18:44.628514,ACH,False
ACC_N_288,ACC_N_30,454.43,2026-03-06T00:18:44.628514,ACH,False
ACC_N_312,ACC_N_30,3453.7,2026-03-30T22:18:44.628514,ACH,False
ACC_N_322,ACC_N_30,4577.56,2026-03-14T18:18:44.628514,ACH,False
ACC_N_337,ACC_N_31,985.75,2026-03-11T09:18:44.628514,ACH,False
ACC_N_357,ACC_N_31,516.91,2026-03-20T01:18:44.628514,ACH,False
ACC_N_388,ACC_N_31,111.98,2026-04-01T03:18:44.628514,ACH,False
ACC_N_10,ACC_N_32,1473.91,2026-03-09T09:18:44.628514,ACH,False
ACC_N_349,ACC_N_32,4919.92,2026-03-11T00:18:44.628514,ACH,False
ACC_N_384,ACC_N_32,1622.45,2026-03-21T22:18:44.628514,ACH,False
ACC_N_441,ACC_N_32,3773.06,2026-03-06T17:18:44.628514,ACH,False
ACC_N_49,ACC_N_33,2388.65,2026-03-10T09:18:44.628514,ACH,False
ACC_N_438,ACC_N_33,4797.25,2026-03-18T14:18:44.628514,ACH,False
ACC_N_481,ACC_N_33,2122.1,2026-03-09T04:18:44.628514,ACH,False
ACC_N_97,ACC_N_34,3655.9,2026-03-29T21:18:44.628514,ACH,False
ACC_N_5,ACC_N_35,3918.09,2026-03-11T16:18:44.628514,ACH,False
ACC_N_100,ACC_N_35,1337.04,2026-03-24T16:18:44.628514,ACH,False
ACC_N_312,ACC_N_35,3645.6,2026-03-25T19:18:44.628514,ACH,False
ACC_N_33,ACC_N_36,210.54,2026-03-08T05:18:44.628514,ACH,False
ACC_N_192,ACC_N_36,2521.64,2026-03-09T01:18:44.628514,ACH,False
ACC_N_347,ACC_N_36,2238.79,2026-03-30T20:18:44.628514,ACH,False
ACC_N_56,ACC_N_37,4663.99,2026-03-05T09:18:44.628514,ACH,False
ACC_N_107,ACC_N_37,313.07,2026-03-07T15:18:44.628514,ACH,False
ACC_N_317,ACC_N_37,1009.8,2026-03-17T01:18:44.628514,ACH,False
ACC_N_231,ACC_N_38,1021.02,2026-03-15T23:18:44.628514,ACH,False
ACC_N_482,ACC_N_38,1221.86,2026-03-31T18:18:44.628514,ACH,False
ACC_N_268,ACC_N_39,4149.73,2026-03-20T09:18:44.628514,ACH,False
ACC_N_50,ACC_N_40,3720.1,2026-03-24T06:18:44.628514,ACH,False
ACC_N_390,ACC_N_40,313.85,2026-03-13T13:18:44.628514,ACH,False
ACC_LAY_B_3,ACC_N_40,219000.0,2026-03-16T20:48:44.628514,Crypto,True
ACC_N_147,ACC_N_41,416.8,2026-03-14T03:18:44.628514,ACH,False
ACC_N_229,ACC_N_41,1025.75,2026-03-12T13:18:44.628514,ACH,False
ACC_N_238,ACC_N_41,2397.5,2026-03-14T10:18:44.628514,ACH,False
ACC_N_358,ACC_N_41,327.83,2026-03-12T09:18:44.628514,ACH,False
ACC_N_404,ACC_N_41,3992.42,2026-03-17T05:18:44.628514,ACH,False
ACC_N_442,ACC_N_41,1798.23,2026-03-12T21:18:44.628514,ACH,False
ACC_N_277,ACC_N_42,814.02,2026-03-19T09:18:44.628514,ACH,False
ACC_N_444,ACC_N_42,3712.89,2026-03-12T21:18:44.628514,ACH,False
ACC_N_119,ACC_N_44,115.3,2026-03-18T05:18:44.628514,ACH,False
ACC_N_122,ACC_N_44,3178.91,2026-03-10T09:18:44.628514,ACH,False
ACC_N_469,ACC_N_44,2419.82,2026-04-02T17:18:44.628514,ACH,False
ACC_N_476,ACC_N_44,2049.3,2026-03-08T11:18:44.628514,ACH,False
ACC_N_74,ACC_N_45,4106.11,2026-03-10T14:18:44.628514,ACH,False
ACC_N_246,ACC_N_45,4222.47,2026-03-22T05:18:44.628514,ACH,False
ACC_N_57,ACC_N_46,2700.36,2026-03-22T23:18:44.628514,ACH,False
ACC_N_460,ACC_N_46,3852.33,2026-03-10T18:18:44.628514,ACH,False
ACC_N_55,ACC_N_47,4538.8,2026-03-31T16:18:44.628514,ACH,False
ACC_N_106,ACC_N_48,2291.09,2026-03-07T16:18:44.628514,ACH,False
ACC_N_198,ACC_N_48,3862.37,2026-03-07T04:18:44.628514,ACH,False
ACC_N_234,ACC_N_48,151.98,2026-03-23T01:18:44.628514,ACH,False
ACC_N_455,ACC_N_48,830.92,2026-03-13T10:18:44.628514,ACH,False
ACC_N_66,ACC_N_49,2619.96,2026-03-20T19:18:44.628514,ACH,False
